critic,fresh,imdb,publication,quote,review_date,rtid,title
Owen Gleiberman,fresh,114709.0,Entertainment Weekly,,2011-09-07,9559.0,Toy story
Derek Adams,fresh,114709.0,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,9559.0,Toy story
Richard Corliss,fresh,114709.0,TIME Magazine,The year's most inventive comedy.,2008-08-31,9559.0,Toy story
David Ansen,fresh,114709.0,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,9559.0,Toy story
Leonard Klady,fresh,114709.0,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,9559.0,Toy story
Jonathan Rosenbaum,fresh,114709.0,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,9559.0,Toy story
Michael Booth,fresh,114709.0,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,9559.0,Toy story
Geoff Andrew,fresh,114709.0,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,9559.0,Toy story
Janet Maslin,fresh,114709.0,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,9559.0,Toy story
Kenneth Turan,fresh,114709.0,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,9559.0,Toy story
Susan Wloszczyna,fresh,114709.0,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,9559.0,Toy story
Roger Ebert,fresh,114709.0,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01,9559.0,Toy story
John Hartl,fresh,114709.0,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,9559.0,Toy story
Susan Stark,fresh,114709.0,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,9559.0,Toy story
Peter Stack,fresh,114709.0,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,9559.0,Toy story
James Berardinelli,fresh,114709.0,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01,9559.0,Toy story
Sean Means,fresh,114709.0,Film.com,"Technically, Toy Story is nearly flawless.",2000-01-01,9559.0,Toy story
Rita Kempley,fresh,114709.0,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,9559.0,Toy story
,fresh,114709.0,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559.0,Toy story
Roger Moore,fresh,114709.0,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559.0,Toy story
Owen Gleiberman,rotten,113497.0,Entertainment Weekly,,2011-09-07,12436.0,Jumanji
Leonard Klady,none,113497.0,Variety,,2009-01-02,12436.0,Jumanji
Geoff Andrew,none,113497.0,Time Out,,2006-06-24,12436.0,Jumanji
Janet Maslin,none,113497.0,New York Times,,2003-05-20,12436.0,Jumanji
Peter Stack,none,113497.0,San Francisco Chronicle,,2002-06-18,12436.0,Jumanji
,none,113497.0,Globe and Mail,,2002-04-12,12436.0,Jumanji
Jack Mathews,none,113497.0,Los Angeles Times,,2001-02-13,12436.0,Jumanji
Roger Ebert,rotten,113497.0,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,12436.0,Jumanji
,none,113497.0,Washington Post,,2000-01-01,12436.0,Jumanji
James Berardinelli,rotten,113497.0,ReelViews,,2000-01-01,12436.0,Jumanji
Susan Stark,fresh,113497.0,Detroit News,,2000-01-01,12436.0,Jumanji
,fresh,113497.0,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,12436.0,Jumanji
,rotten,113497.0,Entertainment Weekly,,1995-12-15,12436.0,Jumanji
Brian Lowry,none,107050.0,Variety,,2010-10-06,10498.0,Grumpy Old Men
,none,107050.0,Variety,,2009-03-26,10498.0,Grumpy Old Men
Richard Schickel,fresh,107050.0,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,10498.0,Grumpy Old Men
Derek Adams,rotten,107050.0,Time Out,"Mediocre, regrettably.",2006-06-24,10498.0,Grumpy Old Men
Caryn James,fresh,107050.0,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,10498.0,Grumpy Old Men
James Berardinelli,fresh,107050.0,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,10498.0,Grumpy Old Men
Roger Ebert,rotten,107050.0,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,10498.0,Grumpy Old Men
Desson Thomson,fresh,107050.0,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,10498.0,Grumpy Old Men
,fresh,107050.0,Entertainment Weekly,,1993-12-24,10498.0,Grumpy Old Men
Godfrey Cheshire,none,114885.0,Variety,,2009-03-26,16697.0,Waiting to Exhale
David Ansen,none,114885.0,Newsweek,,2008-03-31,16697.0,Waiting to Exhale
,none,114885.0,Time Out,,2006-01-26,16697.0,Waiting to Exhale
Stephen Holden,none,114885.0,New York Times,,2003-05-20,16697.0,Waiting to Exhale
Liam Lacey,rotten,114885.0,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,16697.0,Waiting to Exhale
Kenneth Turan,fresh,114885.0,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,16697.0,Waiting to Exhale
Edward Guthmann,rotten,114885.0,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,16697.0,Waiting to Exhale
Desson Thomson,fresh,114885.0,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,16697.0,Waiting to Exhale
Joan Walsh,rotten,114885.0,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,16697.0,Waiting to Exhale
Susan Wloszczyna,fresh,114885.0,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,16697.0,Waiting to Exhale
Susan Stark,rotten,114885.0,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,16697.0,Waiting to Exhale
James Berardinelli,rotten,114885.0,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,16697.0,Waiting to Exhale
Roger Ebert,fresh,114885.0,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,16697.0,Waiting to Exhale
,fresh,114885.0,Entertainment Weekly,,1995-12-22,16697.0,Waiting to Exhale
Brian Lowry,none,113041.0,Variety,,2009-03-26,10379.0,Father of the Bride Part II
,none,113041.0,Time Out,,2006-01-26,10379.0,Father of the Bride Part II
Janet Maslin,none,113041.0,New York Times,,2003-05-20,10379.0,Father of the Bride Part II
Peter Stack,none,113041.0,San Francisco Chronicle,,2002-06-18,10379.0,Father of the Bride Part II
,none,113041.0,Globe and Mail,,2002-04-12,10379.0,Father of the Bride Part II
Kevin Thomas,none,113041.0,Los Angeles Times,,2001-02-13,10379.0,Father of the Bride Part II
Mike Clark,rotten,113041.0,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,10379.0,Father of the Bride Part II
Roger Ebert,rotten,113041.0,Chicago Sun-Times,,2000-01-01,10379.0,Father of the Bride Part II
Susan Stark,rotten,113041.0,Detroit News,,2000-01-01,10379.0,Father of the Bride Part II
Hal Hinson,none,113041.0,Washington Post,,2000-01-01,10379.0,Father of the Bride Part II
James Berardinelli,rotten,113041.0,ReelViews,,2000-01-01,10379.0,Father of the Bride Part II
Desson Thomson,none,113041.0,Washington Post,,2000-01-01,10379.0,Father of the Bride Part II
,fresh,113041.0,Entertainment Weekly,,1995-12-08,10379.0,Father of the Bride Part II
Michael Wilmington,fresh,113277.0,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,13098.0,Heat
Anthony Lane,fresh,113277.0,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,13098.0,Heat
Steven Rea,rotten,113277.0,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,13098.0,Heat
David Ansen,fresh,113277.0,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,13098.0,Heat
